Kabupaten/Kota,Tahun,PDRB (Y),Investasi (X1),Tingkat Kemiskinan (X2),IPM (X3),Pengeluaran pemerintah daerah (X4),Jumlah Angkatan kerja (X5)
Bogor,2018,219239.94,3733240000000,7.14,69.69,8222328332890,2622517
Bogor,2019,237227.08,4414690000000,6.66,70.65,8984354016940,2793841
Bogor,2020,235887.26,6300890000000,7.69,71.63,8792475489000,2733670
Bogor,2021,248660.23,5253900000000,8.13,71.83,8708394000000,2786372
Bogor,2022,267743.69,13448300000000,7.73,72.45,9429443000000,2897332
Sukabumi,2018,61614.78,351700000000,6.76,66.05,4092789069000,1142067
Sukabumi,2019,67423.12,218170000000,6.22,66.87,4115065753380,1154199
Sukabumi,2020,67462.17,1490130000000,7.09,68.14,4145581738130,1146833
Sukabumi,2021,70738.04,1973180000000,7.7,68.33,4094041000000,1222156
Sukabumi,2022,76243.67,6995190000000,7.34,68.87,4101567000000,1313905
Cianjur,2018,42971.25,143340000000,9.81,64.62,4219839541770,1007714
Cianjur,2019,46957.85,704480000000,9.15,65.38,4326090598750,1117349
Cianjur,2020,47535.47,508730000000,10.36,66.96,4224220609610,1185595
Cianjur,2021,50137.66,943700000000,11.18,67.16,3981837000000,1175885
Cianjur,2022,53988.97,521570000000,10.55,67.55,4016996000000,1222589
Bandung,2018,112982.08,2757560000000,6.65,71.75,5908760904000,1653796
Bandung,2019,123985.75,2078080000000,5.94,72.41,5782093595000,1776063
Bandung,2020,123602.76,1096960000000,6.91,72.69,5982919972000,1717376
Bandung,2021,130476.83,1237270000000,7.15,73.03,5514614000000,1824927
Bandung,2022,143002.07,3098690000000,6.8,73.46,6194661000000,1808799
Garut,2018,53036.45,116480000000,9.27,65.42,4475258169790,1109996
Garut,2019,57874.57,625120000000,8.98,66.22,5048907317610,1170994
Garut,2020,58043.17,322550000000,9.98,67.2,4794743824360,1156180
Garut,2021,60836.39,457450000000,10.65,67.53,4660752000000,1200346
Garut,2022,66590.62,447290000000,10.42,68.51,4703420000000,1330353
Tasikmalaya,2018,34023.59,0,9.85,65.0,3644401049170,850644
Tasikmalaya,2019,37310.23,0,9.12,65.64,4054018046000,892701
Tasikmalaya,2020,37443.45,141220000000,10.34,67.22,3808342510080,944706
Tasikmalaya,2021,39285.64,8600000000,11.15,67.43,3163519000000,936109
Tasikmalaya,2022,42659.5,189520000000,10.73,68.45,3201850000000,940713
Ciamis,2018,29090.46,70000000,7.22,69.63,2645920459200,620036
Ciamis,2019,31536.1,0,6.65,70.39,2965254222500,633945
Ciamis,2020,31974.41,250000000,7.62,71.57,2872395581190,679192
Ciamis,2021,33688.05,3080000000,7.97,72.0,2710586000000,671063
