ID,Lowongan Kerja Terdaftar,,
,Laki-Laki,Perempuan,Jumlah
1,812,741,1553
2,635,891,1526
3,908,999,1907
4,292,263,555
5,487,491,978
6,623,589,1212
7,289,375,664
8,475,452,927
9,307,225,532
10,279,135,414
11,594,325,919
12,5048,2576,7624
13,6248,6021,12269
14,937,888,1825
15,4493,4004,8497
16,997,476,1473
17,515,551,1066
18,1135,674,1809
19,230,248,478
20,179,114,293
21,294,400,694
22,538,442,980
23,1127,657,1784
24,257,147,404
25,195,111,306
26,495,473,968
27,1375,1387,2762
28,825,833,1658
29,211,312,523
30,189,117,306
31,560,485,1045
32,288,200,488
33,262,319,581
34,160,95,255
