Provinsi,Pencari Kerja Terdaftar,,,Lowongan Kerja Terdaftar,,,Penempatan Tenaga Kerja,,
,Laki-Laki,Perempuan,Jumlah,Laki-Laki,Perempuan,Jumlah,Laki-Laki,Perempuan,Jumlah
Aceh,6515,5085,11600,812,741,1553,810,739,1549
Sumatera Utara,14270,13452,27722,635,891,1526,533,835,1368
Sumatera Barat,9734,10570,20304,908,999,1907,787,938,1725
Riau,10179,6298,16477,292,263,555,167,253,420
Jambi,6376,4827,11203,487,491,978,395,475,870
Sumatera Selatan,14436,9153,23589,623,589,1212,538,581,1119
Bengkulu,2152,2094,4246,289,375,664,289,373,662
Lampung,9316,6474,15790,475,452,927,427,439,866
Kepulauan Bangka Belitung,2470,2013,4483,307,225,532,290,211,501
Kepulauan Riau,6818,4564,11382,279,135,414,201,119,320
DKI Jakarta,22940,13707,36647,594,325,919,308,191,499
Jawa Barat,162560,130193,292753,5048,2576,7624,4531,2448,6979
Jawa Tengah,62873,49097,111970,6248,6021,12269,5824,5815,11639
DI Yogyakarta,7212,6098,13310,937,888,1825,852,852,1704
Jawa Timur,55194,40784,95978,4493,4004,8497,4183,3890,8073
Banten,35076,23702,58778,997,476,1473,851,414,1265
Bali,6919,4932,11851,515,551,1066,441,537,978
Nusa Tenggara Barat,9207,5186,14393,1135,674,1809,1095,662,1757
Nusa Tenggara Timur,3214,2918,6132,230,248,478,208,242,450
Kalimantan Barat,6149,4873,11022,179,114,293,101,104,205
Kalimantan Tengah,7097,3305,10402,294,400,694,282,400,682
Kalimantan Selatan,7227,3063,10290,538,442,980,460,426,886
Kalimantan Timur,9847,3770,13617,1127,657,1784,1024,637,1661
Kalimantan Utara,1430,940,2370,257,147,404,247,147,394
Sulawesi Utara,3082,2648,5730,195,111,306,140,97,237
Sulawesi Tengah,9358,4742,14100,495,473,968,397,467,864
Sulawesi Selatan,27750,16647,44397,1375,1387,2762,1278,1371,2649
Sulawesi Tenggara,5575,3930,9505,825,833,1658,735,815,1550
Gorontalo,1217,1066,2283,211,312,523,203,310,513
Sulawesi Barat,2358,1404,3762,189,117,306,169,117,286
Maluku,4401,3092,7493,560,485,1045,554,485,1039
Maluku Utara,6563,3156,9719,288,200,488,228,190,418
Papua Barat,1066,1029,2095,262,319,581,258,317,575
Papua,1294,489,1783,160,95,255,120,93,213
