carat,depth,table,price,size,Good,Ideal,Premium,Very Good,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
0.93,64.5,56.3,3425,147.084928,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.77,62.2,57.0,3152,123.58915799999998,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.7,60.0,59.0,5027,115.924025,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,62.6,58.0,872,50.15439000000001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.4,59.0,831,48.28942999999999,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0.34,62.7,56.0,803,55.820800000000006,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,64.2,60.0,2298,113.09688,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4,61.6,59.0,900,63.566128000000006,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.06,62.5,57.0,5783,170.060715,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4,61.2,55.0,666,65.794518,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.04,62.0,55.0,4892,170.00474400000002,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.35,62.9,58.0,788,57.306368000000006,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.62,61.2,59.0,1166,100.22664,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.3,60.1,58.0,6442,216.97032,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.35,60.5,60.0,5167,219.92083200000002,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.72,60.6,57.0,1799,118.597248,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.91,64.0,56.6,4105,146.81771999999998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.35,60.7,56.0,868,58.77972,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.13,59.1,59.0,5014,189.010188,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.33,61.2,55.0,521,54.303795,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9,62.3,58.0,3740,145.66463999999996,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.34,61.0,57.0,880,55.23840000000001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.55,62.1,60.0,1744,88.11374400000001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,61.2,56.0,3662,116.17689600000001,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.54,62.2,56.0,2009,89.50884199999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,63.6,61.0,742,48.130824999999994,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.1,55.0,612,50.43346499999999,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.14,61.5,57.0,7042,184.94515199999998,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.32,60.3,60.0,758,52.398216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.59,61.1,57.0,1771,98.06350400000001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.24,60.8,58.0,559,39.626819999999995,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.4,62.8,54.0,1053,65.66464,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.52,62.0,54.0,930,85.3664,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.01,63.0,58.0,6097,164.806044,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,61.3,58.0,886,86.25632399999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.72,62.7,56.0,2578,118.60991999999999,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.39,61.3,60.0,746,62.23932,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.07,61.5,57.0,5254,176.849946,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.34,63.0,54.0,727,57.05280000000001,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.75,64.4,59.0,2953,118.70258400000002,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.01,63.2,58.0,3309,160.02159999999998,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.81,62.9,56.0,3059,128.14210000000003,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1.5,63.1,59.0,7150,235.01764000000003,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.51,63.1,58.0,1793,83.914488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,59.9,59.0,658,49.499694,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.52,59.9,57.0,2217,86.377632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.73,59.9,58.0,2882,120.32560799999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.26,64.0,57.0,524,42.377061999999995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.39,61.8,57.0,979,63.788399999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.56,62.5,56.0,1441,90.228864,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.49,59.5,62.0,1182,81.30358799999999,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,62.5,60.0,675,48.158767999999995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.52,63.3,57.0,10618,248.96198399999997,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.8,62.0,54.2,2591,131.64822,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,62.8,59.0,4556,149.04807300000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.31,60.0,57.0,6089,213.33725,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.34,60.5,58.0,879,54.95596799999999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,62.2,61.0,4543,157.86792,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,60.9,57.0,1832,114.985728,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.32,63.6,56.0,589,52.53526600000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.05,59.5,56.0,6132,175.117536,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,63.2,57.0,666,64.33596,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
